"","Monitoring_Location_ID","Characteristic_Name","Organization_ID","Activity_ID","Monitoring_Location_Name","Monitoring_Location_State","Monitoring_Location_Latitude","Monitoring_Location_Longitude","Monitoring_Location_Type","Activity_Type","Activity_Start_Date","Project_ID","Activity_Media","Sample_Collection_Method_ID","Sample_Collection_Method_Context","Sample_Collection_Method_Name","Result_Status","CAS_#","Result_Value_Type","Result_Value","Result_Unit","Result_Qualifier_1","Detection_Limit_Type1","Detection_Limit_Value","Detection_Limit_Unit","Analytical_Method_ID","Analytical_Method_Context","Analytical_Method_Name","Laboratory_Name","Subject_Taxonomic_Name","Characteristic_Name_abr","Waterbody","Location_ID","Region","Latitude","Longitude"
"1","ANA0082","perfluorotetradecanoic acid","MDE_EASP","2021FTC_ANAC_SW","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2021-10-06,"FTSAMPLECOL2021","Water","MBL-001","MDE_EASP","Water Sampler","Final","376-06-7","Actual",0,"ng/l",NA,"Method Detection Level",0.224,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","Alpha Analytical","water","PFTeDA","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"2","ANA0082","1-pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-","MDE_EASP","2022FTC_ANAC_SW1","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2022-10-31,"FTSAMPLECOL2022","Water","MBL-001","MDE_EASP","Water Sampler","Final","2706-91-4","Actual",0,"ng/l",NA,"Method Detection Level",0.371,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","GEL Laboratories","water","PFPeS","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"3","ANA0082","perfluorovaleric acid","MDE_EASP","2022FTC_ANAC_SW1","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2022-10-31,"FTSAMPLECOL2022","Water","MBL-001","MDE_EASP","Water Sampler","Final","2706-90-3","Actual",0,"ng/l",NA,"Method Detection Level",0.671,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","GEL Laboratories","water","PFPeA","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"4","ANA0082","perfluorodecanoic acid","MDE_EASP","2021FTC_ANAC_SW","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2021-10-06,"FTSAMPLECOL2021","Water","MBL-001","MDE_EASP","Water Sampler","Final","335-76-2","Actual",0,"ng/l",NA,"Method Detection Level",0.224,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","Alpha Analytical","water","PFDA","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"5","ANA0082","perfluorononanoic acid","MDE_EASP","2022FTC_ANAC_SW1","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2022-10-31,"FTSAMPLECOL2022","Water","MBL-001","MDE_EASP","Water Sampler","Final","375-95-1","Actual",6.83,"ng/l",NA,"Method Detection Level",0.814,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","GEL Laboratories","water","PFNA","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"6","ANA0082","perfluorotridecanoic acid","MDE_EASP","2021FTC_ANAC_SW","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2021-10-06,"FTSAMPLECOL2021","Water","MBL-001","MDE_EASP","Water Sampler","Final","72629-94-8","Actual",0,"ng/l",NA,"Method Detection Level",0.224,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","Alpha Analytical","water","PFTrDA","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"7","ANA0082","1-heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-","MDE_EASP","2022FTC_ANAC_SW1","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2022-10-31,"FTSAMPLECOL2022","Water","MBL-001","MDE_EASP","Water Sampler","Final","375-92-8","Actual",6.6,"ng/l",NA,"Method Detection Level",1.93,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","GEL Laboratories","water","PFHps","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"8","ANA0082","perfluorooctane sulfonic acid","MDE_EASP","2021FTC_ANAC_SW","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2021-10-06,"FTSAMPLECOL2021","Water","MBL-001","MDE_EASP","Water Sampler","Final","1763-23-1","Actual",7.88,"ng/l",NA,"Method Detection Level",0.224,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","Alpha Analytical","water","PFOS","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"9","ANA0082","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE_EASP","2021FTC_ANAC_SW","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2021-10-06,"FTSAMPLECOL2021","Water","MBL-001","MDE_EASP","Water Sampler","Final","1691-99-2","Actual",0,"ng/l",NA,"Method Detection Level",0.224,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","Alpha Analytical","water","EtFOSA","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"10","ANA0082","perfluorohexanoic acid","MDE_EASP","2022FTC_ANAC_SW1","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2022-10-31,"FTSAMPLECOL2022","Water","MBL-001","MDE_EASP","Water Sampler","Final","307-24-4","Actual",7.18,"ng/l",NA,"Method Detection Level",0.814,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","GEL Laboratories","water","PFHxA","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"11","ANA0082","perfluorohexanesulfonic acid","MDE_EASP","2022FTC_ANAC_SW1","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2022-10-31,"FTSAMPLECOL2022","Water","MBL-001","MDE_EASP","Water Sampler","Final","355-46-4","Actual",1.44,"ng/l",NA,"Method Detection Level",0.671,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","GEL Laboratories","water","PFHxS","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"12","ANA0082","perfluorobutanesulfonic acid","MDE_EASP","2022FTC_ANAC_SW1","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2022-10-31,"FTSAMPLECOL2022","Water","MBL-001","MDE_EASP","Water Sampler","Final","375-73-5","Actual",0,"ng/l",NA,"Method Detection Level",0.671,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","GEL Laboratories","water","PFBS","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
"13","ANA0082","perfluoroheptanoic acid","MDE_EASP","2022FTC_ANAC_SW1","Bladensburg Road","Maryland",38.93898,-76.94357,"River/Stream","Sample-Routine",2022-10-31,"FTSAMPLECOL2022","Water","MBL-001","MDE_EASP","Water Sampler","Final","375-85-9","Actual",6.72,"ng/l",NA,"Method Detection Level",2.03,"ng/l","537.1","USEPA","Determination of Selected Per- and Polyfluorinated Alkyl Substances in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)","GEL Laboratories","water","PFHpA","Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625"
