"","Monitoring_Location_ID","Activity_ID","Characteristic_Name","Organization_ID","Project_ID","Activity_Type","Activity_Start_Date","Laboratory_Name","Result_Value_Type","Result_Value","Subject_Taxonomic_Name","Activity_Media","Sample_Collection_Method_ID","Detection_Limit_Unit","Detection_Limit_Value","Characteristic_Name_abr","Mass_g","Length_cm","n","Sum_PFAS","Waterbody","Location_ID","Region","Latitude","Longitude","pct_PFAS","Year","Month"
"1","ANA0082","2021FTC_ANAC_C","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFHxA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"2","ANA0082","2021FTC_ANAC_C","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.448,"EtFOSA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"3","ANA0082","2021FTC_ANAC_C","perfluorooctanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFOA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"4","ANA0082","2021FTC_ANAC_C","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFHxS",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"5","ANA0082","2021FTC_ANAC_D","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0.494,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFDA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.0389620632541999,2021,10
"6","ANA0082","2021FTC_ANAC_C","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0.881,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFTeDA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.0706099222569528,2021,10
"7","ANA0082","2021FTC_ANAC_D","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFBS",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"9","ANA0082","2021FTC_ANAC_C","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.448,"NMeFOSA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"10","ANA0082","2021FTC_ANAC_C","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0.735,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFUnA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.05890839144025,2021,10
"11","ANA0082","2021FTC_ANAC_D","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0.924,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFUnA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.0728764098114993,2021,10
